Nome,ticker,valor
Log-In,logn3,https://www.loginlogistica.com.br
Banco da Amazônia,baza3,https://www.bancoamazonia.com.br
Banestes,bees3,https://www.banestes.com.br
Celesc,clsc4,https://www.celesc.com.br
Azevedo & Travassos,azev11,https://www.azevedotravassos.com.br
Padtec,pdtc3,https://www.padtec.com.br
Embpar Participações,epar3,https://www.embpar.com.br
RNI,rdni3,https://www.rni.com.br
Rossi Residencial,rsid3,https://www.rossiresidencial.com.br
Neogrid,ngrd3,https://www.infomoney.com.br
Habitasul,hbts5,https://www.habitasul.com.br
Tronox Pigmentos,crpg5,https://www.cristal-al.com.br
Equatorial Energia Pará,eqpa3,https://www.equatorialenergia.com.br
Alpargatas,alpa3,https://www.alpargatas.com.br
Jereissati Participações,igti3,https://www.jereissati.com.br
Iguatemi,igti3,https://www.jereissati.com.br
Jereissati Participações,igti3,https://www.jereissati.com.br
Iguatemi,igti3,https://www.jereissati.com.br
Alupar,alup3,https://www.alupar.com.br
Sansuy,snsy5,https://www.sansuy.com.br
Banrisul,brsr3,https://www.banrisul.com.br
Taurus,tasa3,https://www.taurus.com.br
Braskem,brkm6,https://www.google.com
Unipar,unip3,https://www.unipar.com
Alphaville,avll3,https://www.statusinvest.com.br
Energisa,engi4,https://www.energisa.com.br
Refinaria de Manguinhos,rpmg3,https://www.infomoney.com.br
ATOM EDUCAÇÃO E EDITORA S.A.,ated3,https://www.atomeducacional.com.br
WLM,wlmm4,https://www.wlm.com.br
Grazziotin,cgra4,https://www.grazziotin.com.br
Hotéis Othon,hoot4,https://www.ciahoteisothon.com.br
Nutriplant,nutr3,https://www.nutriplant.com.br
Banco BTG Pactual,bpac3,https://www.btgpactual.com
Banestes,bees4,https://www.banestes.com.br
Minupar,mnpr3,https://www.minupar.com.br
Randon,rapt3,https://www.randon.com.br
Pettenati,ptnt4,https://www.pettenati.com.br
Döhler,dohl4,https://www.infomoney.com.br
Banco BTG Pactual,bpac5,https://www.btgpactual.com
Rede Energia,rede3,https://www.energisa.com.br
Dtcom,dtcy3,https://www.dtcom.com.br
Santanense,ctsa4,https://www.santanense.com.br
Trevisa,luxm4,https://www.trevisa.com.br
Metalúrgica Riosulense,rsul4,https://www.riosulense.com.br
Grazziotin,cgra3,https://www.grazziotin.com.br
Ourofino Saúde Animal,ofsa3,https://www.ourofino.com
General Shopping & Outlets,gshp3,https://www.generalshopping.com.br
Panatlântica,pati3,https://www.panatlantica.com.br
Telebras,telb3,https://www.telebras.com.br
Dexxos,dexp4,https://www.dexxos.com.br
Cedro Têxtil,cedo4,https://www.cedro.com.br
Baumer,balm4,https://www.baumer.com.br
Banco de Brasília,bsli3,https://www.brb.com.br
Participações Aliança da Bahia,peab4,https://www.aliancaparticipacoes.com.br
Rio Paranapanema Energia,gepa4,https://www.paranapanemaenergia.com.br
Banco de Brasília,bsli4,https://www.brb.com.br
Renova Energia,rnew11,https://www.investidor10.com.br
Haga,haga3,https://www.haga.com.br
Comgás,cgas5,https://www.www.com
